# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "--countReadPairs" "-T" "4" "-t" "gene" "-g" "gene" "-a" "/data/behringer_lab/Ref_Genome/E_coli/E_coli.gtf" "-o" "SRA_FimA_Counts.txt" "Sample_SRR8335000.sorted.bam" "Sample_SRR8335002.sorted.bam" "Sample_SRR8335003.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	Sample_SRR8335000.sorted.bam	Sample_SRR8335002.sorted.bam	Sample_SRR8335003.sorted.bam
lon	NC_000913.3	458888	461242	+	2355	8751	18222	6228
hupB	NC_000913.3	461451	461723	+	273	678	1007	368
ppiD	NC_000913.3	461915	463786	+	1872	2034	1914	1140
ybaV	NC_000913.3	463937	464308	+	372	140	145	62
fadM	NC_000913.3	464402	464800	+	399	396	906	82
queC	NC_000913.3	464852	465547	-	696	542	411	279
ybaE	NC_000913.3	465612	467312	-	1701	1820	1395	174
cof	NC_000913.3	467412	468230	+	819	460	372	178
decR	NC_000913.3	468383	468841	+	459	368	318	117
mdlA	NC_000913.3	468871	470643	+	1773	1108	803	270
mdlB	NC_000913.3	470636	472417	+	1782	911	530	306
glnK	NC_000913.3	472598	472936	+	339	273	120	34
amtB	NC_000913.3	472966	474252	+	1287	839	471	219
tesB	NC_000913.3	474301	475161	-	861	1097	1041	222
ybaY	NC_000913.3	475379	475951	+	573	1465	1156	1036
ybaZ	NC_000913.3	475982	476371	-	390	378	294	254
ffs	NC_000913.3	476448	476561	+	114	88	56	7
ybaA	NC_000913.3	476672	477025	+	354	778	748	99
pdeB	NC_000913.3	477067	478617	-	1551	1320	1168	455
ylaC	NC_000913.3	478781	479251	-	471	1570	1179	1066
maa	NC_000913.3	479367	479918	-	552	368	493	511
hha	NC_000913.3	480090	480308	-	219	535	1215	697
tomB	NC_000913.3	480334	480708	-	375	960	1944	927
acrB	NC_000913.3	481254	484403	-	3150	3769	4959	1714
acrA	NC_000913.3	484426	485619	-	1194	1230	1763	530
acrR	NC_000913.3	485761	486408	+	648	520	509	204
mscK	NC_000913.3	486536	489898	+	3363	1525	903	663
ybaM	NC_000913.3	490110	490271	-	162	184	126	95
priC	NC_000913.3	490285	490812	-	528	268	227	179
ybaN	NC_000913.3	490882	491259	+	378	302	213	323
apt	NC_000913.3	491412	491963	+	552	361	192	267
dnaX	NC_000913.3	492092	494023	+	1932	1480	1585	1637
ybaB	NC_000913.3	494076	494405	+	330	607	681	780
recR	NC_000913.3	494405	495010	+	606	511	535	697
htpG	NC_000913.3	495120	496994	+	1875	4683	11438	2662
adk	NC_000913.3	497175	497819	+	645	623	465	571
hemH	NC_000913.3	498055	499017	+	963	886	756	184
aes	NC_000913.3	499014	499973	-	960	647	539	130
gsk	NC_000913.3	500125	501429	+	1305	709	401	445
ybaL	NC_000913.3	501562	503238	-	1677	1779	1951	1033
fsr	NC_000913.3	503476	504696	-	1221	688	349	67
ushA	NC_000913.3	504914	506566	+	1653	1548	1542	477
ybaK	NC_000913.3	506603	507082	-	480	432	329	947
chiX	NC_000913.3	507204	507287	+	84	35	18	20
ybaP	NC_000913.3	507286	508080	-	795	425	394	2028
ybaQ	NC_000913.3	508218	508559	+	342	776	880	466
copA	NC_000913.3	508875	511379	-	2505	1762	1214	1292
glsA	NC_000913.3	511641	512573	+	933	589	263	121
ybaT	NC_000913.3	512576	513868	+	1293	932	327	434
cueR	NC_000913.3	513993	514400	+	408	529	345	453
ybbJ	NC_000913.3	514401	514859	-	459	1311	1126	383
qmcA	NC_000913.3	514856	515773	-	918	2779	2512	427
fetA	NC_000913.3	515919	516596	+	678	201	138	50
fetB	NC_000913.3	516583	517362	+	780	390	214	89
cnoX	NC_000913.3	517425	518279	-	855	1892	2579	889
ybbO	NC_000913.3	518340	519149	-	810	591	489	290
tesA	NC_000913.3	519139	519765	-	627	505	395	229
ybbA	NC_000913.3	519733	520419	+	687	627	417	174
ybbP	NC_000913.3	520416	522830	+	2415	1413	840	265
rhsD	NC_000913.3	523261	527541	+	4281	3058	2209	495
ybbC	NC_000913.3	527581	527949	+	369	19	30	9
ylbH	NC_000913.3	527949	528659	+	711	146	80	28
ybbD	NC_000913.3	528640	529130	+	491	70	49	7
ylbI	NC_000913.3	529497	529592	+	96	50	11	3
ylbG	NC_000913.3	529645	530016	-	372	268	178	54
selU	NC_000913.3	530132	531226	-	1095	510	213	117
allS	NC_000913.3	531295	532221	-	927	519	298	44
allA	NC_000913.3	532451	532933	+	483	234	130	35
allR	NC_000913.3	533011	533826	+	816	556	515	405
allZ	NC_000913.3	533629	533863	+	235	7	13	0
gcl	NC_000913.3	533916	535697	+	1782	825	495	83
hyi	NC_000913.3	535710	536486	+	777	281	190	28
glxR	NC_000913.3	536586	537464	+	879	424	284	24
ybbW	NC_000913.3	537633	539087	+	1455	647	461	25
allB	NC_000913.3	539147	540508	+	1362	801	639	56
ybbY	NC_000913.3	540565	541866	+	1302	924	700	58
glxK	NC_000913.3	541888	543033	+	1146	725	560	66
allE	NC_000913.3	543261	544046	-	786	443	325	94
allC	NC_000913.3	544057	545292	-	1236	708	481	110
allD	NC_000913.3	545314	546363	-	1050	507	282	21
fdrA	NC_000913.3	546680	548347	+	1668	768	373	47
ylbE	NC_000913.3	548357	549616	+	1260	659	375	40
ylbF	NC_000913.3	549627	550442	+	816	493	212	39
ybcF	NC_000913.3	550439	551332	+	894	601	290	43
purK	NC_000913.3	551527	552594	-	1068	606	277	297
purE	NC_000913.3	552591	553100	-	510	196	92	190
lpxH	NC_000913.3	553218	553940	-	723	544	312	212
ppiB	NC_000913.3	553943	554437	-	495	4380	2665	922
cysS	NC_000913.3	554611	555996	+	1386	861	666	273
ybcI	NC_000913.3	556032	556553	-	522	218	123	41
ybcJ	NC_000913.3	556661	556873	-	213	246	142	79
folD	NC_000913.3	556875	557741	-	867	587	374	456
sfmA	NC_000913.3	558212	558754	+	543	297	1981	38
sfmC	NC_000913.3	558974	559666	+	693	197	177	25
sfmD	NC_000913.3	559697	562300	+	2604	1010	546	118
sfmH	NC_000913.3	562336	563319	+	984	300	168	27
sfmF	NC_000913.3	563330	563845	+	516	133	59	11
fimZ	NC_000913.3	563848	564480	-	633	123	70	12
argU	NC_000913.3	564723	564799	+	77	52	18	10
intD	NC_000913.3	564815	565978	-	1164	706	503	438
xisD	NC_000913.3	565858	566079	-	222	47	31	5
exoD	NC_000913.3	566098	566361	-	264	962	957	995
peaD	NC_000913.3	566376	566687	+	312	258	186	166
renD	NC_000913.3	566684	568247	+	1564	426	312	144
insE3	NC_000913.3	566842	567141	+	300	0	0	0
insF3	NC_000913.3	567138	568004	+	867	0	0	0
emrE	NC_000913.3	568315	568647	+	333	85	51	93
ylcJ	NC_000913.3	568695	568844	+	150	9	6	0
ybcK	NC_000913.3	568902	570428	+	1527	161	112	12
ybcL	NC_000913.3	570893	571444	+	552	172	156	24
ybcM	NC_000913.3	571454	572251	+	798	827	737	113
ylcH	NC_000913.3	572368	572469	+	102	10	9	1
ybcN	NC_000913.3	572466	572921	+	456	110	49	10
ninE	NC_000913.3	572921	573091	+	171	36	25	0
ybcO	NC_000913.3	573084	573374	+	291	113	62	5
rusA	NC_000913.3	573371	573733	+	363	150	90	6
ylcG	NC_000913.3	573730	573870	+	141	58	40	5
quuD	NC_000913.3	573956	574339	+	384	121	77	17
nmpC	NC_000913.3	574529	576825	-	2297	632	368	142
insH2	NC_000913.3	574737	575717	-	981	0	0	0
essD	NC_000913.3	577398	577613	+	216	98	108	48
rrrD	NC_000913.3	577613	578110	+	498	207	151	61
rzpD	NC_000913.3	578107	578568	+	462	463	362	109
rzoD	NC_000913.3	578327	578509	+	183	0	0	0
borD	NC_000913.3	578600	578893	-	294	1042	884	315
ybcV	NC_000913.3	579184	579594	-	411	647	668	338
ybcW	NC_000913.3	579880	580086	+	207	627	508	289
ylcI	NC_000913.3	580251	580445	-	195	860	737	160
nohD	NC_000913.3	580834	581379	+	546	2802	1926	307
aaaD	NC_000913.3	581354	581662	+	309	411	351	62
tfaD	NC_000913.3	581534	582097	+	564	542	339	49
ybcY	NC_000913.3	582152	582806	-	655	206	127	46
tfaX	NC_000913.3	582875	583060	+	186	42	24	9
appY	NC_000913.3	583681	584430	+	750	68	68	48
ompT	NC_000913.3	584680	585633	-	954	367	267	138
envY	NC_000913.3	586147	586908	-	762	285	148	45
ybcH	NC_000913.3	587091	587981	-	891	437	272	70
nfrA	NC_000913.3	587982	590954	-	2973	1485	877	458
nfrB	NC_000913.3	590941	593178	-	2238	1162	710	268
cusS	NC_000913.3	593328	594770	-	1443	775	431	178
cusR	NC_000913.3	594760	595443	-	684	431	298	57
cusC	NC_000913.3	595600	596973	+	1374	575	243	64
cusF	NC_000913.3	597131	597463	+	333	96	37	9
cusB	NC_000913.3	597479	598702	+	1224	439	229	54
cusA	NC_000913.3	598714	601857	+	3144	1861	890	192
pheP	NC_000913.3	601959	603335	+	1377	1017	501	219
ybdG	NC_000913.3	603416	604663	-	1248	856	452	403
nfsB	NC_000913.3	604771	605424	-	654	544	378	359
ybdF	NC_000913.3	605518	605886	-	369	300	195	110
ybdJ	NC_000913.3	605951	606199	-	249	242	242	90
ybdK	NC_000913.3	606265	607383	-	1119	3360	5123	789
sokE	NC_000913.3	607733	607792	-	60	105	59	30
hokE	NC_000913.3	607836	607988	+	153	59	33	12
insL2	NC_000913.3	608065	609177	+	1113	1436	1218	531
entD	NC_000913.3	609459	610079	-	621	280	163	146
fepA	NC_000913.3	610254	612494	-	2241	1304	736	966
fes	NC_000913.3	612737	613939	+	1203	680	332	587
ybdZ	NC_000913.3	613942	614160	+	219	109	47	111
entF	NC_000913.3	614157	618038	+	3882	1953	1005	1899
fepE	NC_000913.3	618254	619387	+	1134	442	259	30
fepC	NC_000913.3	619384	620199	-	816	414	213	139
fepG	NC_000913.3	620196	621188	-	993	439	257	356
fepD	NC_000913.3	621185	622189	-	1005	699	354	620
entS	NC_000913.3	622300	623550	+	1251	735	401	308
fepB	NC_000913.3	623554	624510	-	957	712	392	635
entC	NC_000913.3	624885	626060	+	1176	712	364	665
entE	NC_000913.3	626070	627680	+	1611	1079	547	942
entB	NC_000913.3	627694	628551	+	858	744	441	547
entA	NC_000913.3	628551	629297	+	747	503	303	403
entH	NC_000913.3	629300	629713	+	414	348	180	231
cstA	NC_000913.3	629894	631999	+	2106	23265	44613	546
ybdD	NC_000913.3	632182	632379	+	198	1588	2630	168
hcxA	NC_000913.3	632389	633477	-	1089	1448	1717	1171
ybdL	NC_000913.3	633586	634746	+	1161	715	433	1224
ybdM	NC_000913.3	634747	635376	-	630	347	215	155
ybdN	NC_000913.3	635349	636569	-	1221	573	294	51
ybdO	NC_000913.3	636716	637618	-	903	217	145	29
dsbG	NC_000913.3	637827	638573	-	747	798	629	127
ahpC	NC_000913.3	638945	639508	+	564	5290	5154	30141
ahpF	NC_000913.3	639753	641318	+	1566	1620	1528	9536
uspG	NC_000913.3	641439	641867	-	429	3555	3268	736
ybdR	NC_000913.3	642088	643326	+	1239	1191	907	215
yldA	NC_000913.3	643330	643419	-	90	254	195	44
rnk	NC_000913.3	643557	643967	-	411	1376	1414	76
rna	NC_000913.3	644197	645003	-	807	887	671	304
citT	NC_000913.3	645117	646580	-	1464	914	499	81
citG	NC_000913.3	646631	647509	-	879	556	347	36
citX	NC_000913.3	647484	648035	-	552	539	301	72
citF	NC_000913.3	648039	649571	-	1533	1045	535	42
citE	NC_000913.3	649582	650490	-	909	652	327	46
citD	NC_000913.3	650487	650783	-	297	230	113	9
citC	NC_000913.3	650798	651856	-	1059	893	458	54
dpiB	NC_000913.3	652235	653893	+	1659	1368	852	237
dpiA	NC_000913.3	653862	654542	+	681	464	232	119
dcuC	NC_000913.3	654583	655968	-	1386	1137	645	130
pagP	NC_000913.3	656557	657117	+	561	414	289	58
cspE	NC_000913.3	657292	657501	+	210	23765	25059	2063
crcB	NC_000913.3	657555	657938	-	384	345	287	327
ybeM	NC_000913.3	658031	658818	+	788	1102	981	261
tatE	NC_000913.3	658947	659150	+	204	657	593	479
lipA	NC_000913.3	659251	660216	-	966	1324	1224	886
ybeF	NC_000913.3	660425	661378	-	954	454	318	99
lipB	NC_000913.3	661637	662278	-	642	511	344	545
ybeD	NC_000913.3	662379	662642	-	264	2513	4216	1597
dacA	NC_000913.3	662752	663963	-	1212	730	531	288
rlpA	NC_000913.3	664102	665190	-	1089	1460	1041	644
mrdB	NC_000913.3	665201	666313	-	1113	1252	807	219
mrdA	NC_000913.3	666316	668217	-	1902	1686	1011	303
rlmH	NC_000913.3	668248	668715	-	468	650	443	151
rsfS	NC_000913.3	668719	669036	-	318	489	392	177
cobC	NC_000913.3	669296	669907	-	612	719	424	99
nadD	NC_000913.3	669931	670572	-	642	750	493	146
holA	NC_000913.3	670574	671605	-	1032	874	598	281
lptE	NC_000913.3	671605	672186	-	582	1002	1071	771
leuS	NC_000913.3	672201	674783	-	2583	7157	7577	4267
ybeL	NC_000913.3	675018	675500	+	483	6911	8385	228
ybeQ	NC_000913.3	675570	676547	-	978	971	955	69
ybeR	NC_000913.3	676711	677418	+	708	319	188	20
djlB	NC_000913.3	677415	678842	+	1428	989	618	71
ybeT	NC_000913.3	678852	679406	-	555	209	146	17
ybeU	NC_000913.3	679508	680215	+	708	509	358	31
djlC	NC_000913.3	680212	681663	+	1452	1422	845	125
hscC	NC_000913.3	681723	683393	-	1671	1324	788	113
rihA	NC_000913.3	683477	684412	-	936	1205	951	120
gltL	NC_000913.3	684530	685255	-	726	1564	1326	385
gltK	NC_000913.3	685255	685929	-	675	1267	1107	333
gltJ	NC_000913.3	685929	686669	-	741	1229	1084	438
sroC	NC_000913.3	686681	686843	-	163	202	225	103
gltI	NC_000913.3	686839	687747	-	909	7599	7434	2460
insH3	NC_000913.3	687997	688977	-	981	2259	1918	931
lnt	NC_000913.3	689343	690881	-	1539	2315	1674	1034
ybeX	NC_000913.3	690906	691784	-	879	2112	2296	2610
ybeY	NC_000913.3	691874	692341	-	468	1792	1996	1045
ybeZ	NC_000913.3	692338	693378	-	1041	3918	4381	2344
miaB	NC_000913.3	693531	694955	-	1425	2093	1906	903
ubiF	NC_000913.3	695101	696276	+	1176	1779	1687	234
glnX	NC_000913.3	696430	696504	-	75	40	30	3
glnV	NC_000913.3	696542	696616	-	75	66	60	89
metU	NC_000913.3	696664	696740	-	77	57	36	56
glnW	NC_000913.3	696756	696830	-	75	78	63	137
glnU	NC_000913.3	696865	696939	-	75	66	59	297
leuW	NC_000913.3	696963	697047	-	85	72	63	419
metT	NC_000913.3	697057	697133	-	77	208	159	250
asnB	NC_000913.3	697513	699177	-	1665	1771	1110	8005
umpH	NC_000913.3	699574	700326	-	753	1248	888	359
nagC	NC_000913.3	700374	701594	-	1221	1768	1441	596
nagA	NC_000913.3	701603	702751	-	1149	1761	1658	502
nagB	NC_000913.3	702811	703611	-	801	1890	1825	326
nagE	NC_000913.3	703944	705890	+	1947	4135	4015	444
glnS	NC_000913.3	706093	707757	+	1665	1735	1409	525
chiZ	NC_000913.3	708236	708333	+	98	33	33	5
chiP	NC_000913.3	708334	709740	+	1407	1629	968	68
chiQ	NC_000913.3	709790	710116	+	327	235	159	45
fur	NC_000913.3	710200	710646	-	447	4419	3251	1216
uof	NC_000913.3	710639	710725	-	87	431	252	102
fldA	NC_000913.3	710935	711465	-	531	3307	1658	365
ybfE	NC_000913.3	711605	711898	-	294	320	218	53
ybfF	NC_000913.3	712038	712802	-	765	925	596	156
seqA	NC_000913.3	712987	713532	+	546	1327	1333	603
pgm	NC_000913.3	713558	715198	+	1641	4169	4147	1682
ybfP	NC_000913.3	715412	715906	+	495	540	305	60
ybfG	NC_000913.3	715947	716597	-	651	398	282	34
ybfI	NC_000913.3	716721	716870	-	150	76	65	3
potE	NC_000913.3	716946	718265	-	1320	1451	1019	163
speF	NC_000913.3	718262	720460	-	2199	2130	1288	159
speFL	NC_000913.3	720718	720822	-	105	30	24	7
kdpE	NC_000913.3	721056	721733	-	678	785	486	135
kdpD	NC_000913.3	721730	724414	-	2685	3975	2735	1186
kdpC	NC_000913.3	724407	724979	-	573	917	736	111
kdpB	NC_000913.3	724988	727036	-	2049	2477	1598	358
kdpA	NC_000913.3	727059	728732	-	1674	2425	1620	233
kdpF	NC_000913.3	728732	728821	-	90	41	38	7
ybfA	NC_000913.3	729134	729340	+	207	373	461	1067
rhsC	NC_000913.3	729583	733776	+	4194	6740	4620	656
ybfB	NC_000913.3	733776	734102	+	327	64	41	10
ybfO	NC_000913.3	734220	735653	+	1434	1938	1321	176
ybfC	NC_000913.3	735650	736219	+	570	292	238	59
ybfQ	NC_000913.3	736445	736699	+	255	58	45	20
ybfL	NC_000913.3	736900	737961	+	1062	630	353	51
ybfD	NC_000913.3	738092	738853	+	762	505	317	46
ybgA	NC_000913.3	739001	739510	+	510	1127	898	360
phr	NC_000913.3	739507	740925	+	1419	2088	1550	645
dtpD	NC_000913.3	741075	742556	-	1482	2691	1844	994
ybgI	NC_000913.3	742827	743570	+	744	1382	1195	377
pxpB	NC_000913.3	743593	744249	+	657	1267	1111	338
pxpC	NC_000913.3	744243	745175	+	933	1960	1942	640
pxpA	NC_000913.3	745165	745899	+	735	845	730	527
nei	NC_000913.3	745935	746726	+	792	1247	830	294
abrB	NC_000913.3	746723	747769	-	1047	1707	1174	360
ybgO	NC_000913.3	747921	748982	-	1062	1095	792	198
ybgP	NC_000913.3	748979	749707	-	729	646	442	118
ybgQ	NC_000913.3	749722	752169	-	2448	3550	2605	400
ybgD	NC_000913.3	752229	752795	-	567	652	606	117
gltA	NC_000913.3	753185	754468	-	1284	6086	6113	1833
ybgV	NC_000913.3	754658	754690	-	33	24	28	4
ybgU	NC_000913.3	754674	754781	-	108	170	177	20
sdhC	NC_000913.3	755177	755566	+	390	5181	3527	159
sdhD	NC_000913.3	755560	755907	+	348	1357	1161	69
sdhA	NC_000913.3	755907	757673	+	1767	8340	7142	635
sdhB	NC_000913.3	757689	758405	+	717	3699	3181	328
sucA	NC_000913.3	758706	761507	+	2802	14318	15159	1429
sucB	NC_000913.3	761522	762739	+	1218	8290	8747	935
sucC	NC_000913.3	763014	764180	+	1167	8635	8118	756
sucD	NC_000913.3	764180	765049	+	870	5580	5430	643
sdhX	NC_000913.3	765050	765150	+	101	93	81	11
mngR	NC_000913.3	765153	765875	-	723	1068	760	245
mngA	NC_000913.3	765984	767960	+	1977	3309	2353	347
mngB	NC_000913.3	767978	770611	+	2634	3850	2640	1003
cydA	NC_000913.3	771458	773026	+	1569	11604	22738	8499
cydB	NC_000913.3	773042	774181	+	1140	8892	15787	6534
cydX	NC_000913.3	774196	774309	+	114	365	622	405
ybgE	NC_000913.3	774309	774602	+	294	1827	3041	2119
ybgC	NC_000913.3	774752	775156	+	405	603	585	450
tolQ	NC_000913.3	775153	775845	+	693	1413	1147	705
tolR	NC_000913.3	775849	776277	+	429	496	474	372
tolA	NC_000913.3	776342	777607	+	1266	3119	2513	1527
tolB	NC_000913.3	777740	779032	+	1293	4858	4564	2381
pal	NC_000913.3	779067	779588	+	522	3343	2891	1771
cpoB	NC_000913.3	779598	780389	+	792	2199	1825	1613
lysT	NC_000913.3	780554	780629	+	76	190	174	425
valT	NC_000913.3	780765	780840	+	76	82	93	155
lysW	NC_000913.3	780843	780918	+	76	106	122	179
valZ	NC_000913.3	781068	781143	+	76	31	29	49
lysY	NC_000913.3	781147	781222	+	76	99	128	78
lysZ	NC_000913.3	781369	781444	+	76	116	109	179
lysQ	NC_000913.3	781577	781652	+	76	188	154	35
nadA	NC_000913.3	782085	783128	+	1044	2128	1910	1360
pnuC	NC_000913.3	783166	783885	+	720	1921	1962	766
zitB	NC_000913.3	783882	784823	-	942	2091	2194	1028
ybgS	NC_000913.3	784937	785317	-	381	2100	1939	915
aroG	NC_000913.3	785633	786685	+	1053	2760	2611	4559
gpmA	NC_000913.3	786843	787595	-	753	6625	6652	5512
galM	NC_000913.3	787797	788837	-	1041	2720	3756	2853
galK	NC_000913.3	788831	789979	-	1149	3472	3526	3175
galT	NC_000913.3	789983	791029	-	1047	2383	2402	1669
galE	NC_000913.3	791039	792055	-	1017	2860	2943	1184
modF	NC_000913.3	792316	793788	-	1473	3506	3590	2170
modE	NC_000913.3	793856	794644	-	789	1909	2063	1128
acrZ	NC_000913.3	794773	794922	+	150	729	688	305
modA	NC_000913.3	795089	795862	+	774	1829	1914	782
modB	NC_000913.3	795862	796551	+	690	1618	1630	651
modC	NC_000913.3	796554	797612	+	1059	2610	2544	1156
ybhA	NC_000913.3	797613	798431	-	819	1744	1874	936
pgl	NC_000913.3	798586	799581	+	996	4444	5601	1550
ybhD	NC_000913.3	799622	800575	-	954	2638	2932	1318
ybhH	NC_000913.3	800759	801811	+	1053	1618	1909	955
ybhI	NC_000913.3	801887	803320	+	1434	2883	3029	1150
ybhJ	NC_000913.3	803503	805764	+	2262	6275	6261	2948
ybhC	NC_000913.3	805998	807281	-	1284	3725	4133	2877
ybhB	NC_000913.3	807433	807909	-	477	1769	1507	288
bioA	NC_000913.3	807968	809257	-	1290	3743	2870	338
bioB	NC_000913.3	809344	810384	+	1041	3295	2674	237
bioF	NC_000913.3	810381	811535	+	1155	2223	1835	275
bioC	NC_000913.3	811522	812277	+	756	1013	761	137
bioD	NC_000913.3	812270	812947	+	678	1391	984	121
uvrB	NC_000913.3	813526	815547	+	2022	5882	6570	4941
ybhK	NC_000913.3	815739	816647	-	909	2062	1524	362
moaA	NC_000913.3	817044	818033	+	990	5792	4924	1478
moaB	NC_000913.3	818055	818567	+	513	3188	2666	982
moaC	NC_000913.3	818570	819055	+	486	2083	1842	707
moaD	NC_000913.3	819048	819293	+	246	1184	1058	430
moaE	NC_000913.3	819295	819747	+	453	1878	1583	502
ybhL	NC_000913.3	819884	820588	+	705	3686	4233	1087
ybhM	NC_000913.3	820793	821506	+	714	1121	944	140
ybhN	NC_000913.3	821542	822498	-	957	2221	1605	251
clsB	NC_000913.3	822498	823739	-	1242	3015	2343	698
ybhP	NC_000913.3	823736	824497	-	762	1881	1397	476
ybhQ	NC_000913.3	824630	825040	+	411	2019	3650	80
ybhR	NC_000913.3	825002	826108	-	1107	2403	1629	167
ybhS	NC_000913.3	826119	827252	-	1134	3006	2133	188
ybhF	NC_000913.3	827245	828981	-	1737	4383	3195	456
ybhG	NC_000913.3	828974	829972	-	999	2015	1744	194
cecR	NC_000913.3	829972	830643	-	672	1093	925	107
rhlE	NC_000913.3	830872	832236	+	1365	2464	1638	455
ybiA	NC_000913.3	832468	832950	-	483	830	544	59
dinG	NC_000913.3	833070	835220	+	2151	4214	3168	840
ybiB	NC_000913.3	835248	836210	+	963	2655	2549	485
hcxB	NC_000913.3	836351	837436	+	1086	2201	1501	780
zbiJ	NC_000913.3	837435	837531	-	97	94	62	5
ybiE	NC_000913.3	837503	837562	+	60	45	42	13
ybiJ	NC_000913.3	837665	837925	-	261	338	276	308
ybiI	NC_000913.3	838190	838456	-	267	1201	1171	252
ybiX	NC_000913.3	838530	839207	-	678	982	767	134
fiu	NC_000913.3	839249	841531	-	2283	4079	2802	345
mcbA	NC_000913.3	841796	842056	-	261	1644	3157	146
rlmF	NC_000913.3	842332	843258	+	927	1633	1060	178
ybiO	NC_000913.3	843255	845480	-	2226	4612	3708	528
glnQ	NC_000913.3	845741	846463	-	723	3614	2831	1352
glnP	NC_000913.3	846460	847119	-	660	3048	2629	907
glnH	NC_000913.3	847258	848004	-	747	13610	12673	2033
dps	NC_000913.3	848408	848911	-	504	16902	18625	3637
rhtA	NC_000913.3	849210	850097	-	888	1416	1049	76
yliM	NC_000913.3	850332	850397	+	66	563	574	87
ompX	NC_000913.3	850450	850965	+	516	7941	6498	7629
opgE	NC_000913.3	851014	852597	-	1584	1784	1187	230
rybA	NC_000913.3	852725	853064	-	340	261	155	20
mntS	NC_000913.3	852869	852997	-	129	0	0	0
mntR	NC_000913.3	853183	853650	+	468	869	584	196
ybiR	NC_000913.3	853647	854765	+	1119	2062	1262	148
ldtB	NC_000913.3	854824	855744	-	921	2122	1611	1022
ybiT	NC_000913.3	855963	857555	+	1593	3589	3349	828
ybiU	NC_000913.3	857796	859061	-	1266	1694	1051	636
ybiV	NC_000913.3	859213	860028	-	816	580	358	415
ybiW	NC_000913.3	860174	862606	-	2433	2950	1798	222
ybiY	NC_000913.3	862612	863511	-	900	1393	793	40
fsaA	NC_000913.3	863642	864304	+	663	937	726	84
moeB	NC_000913.3	864380	865129	-	750	1297	838	249
moeA	NC_000913.3	865129	866364	-	1236	2452	1699	508
iaaA	NC_000913.3	866568	867533	+	966	2054	1988	1820
gsiA	NC_000913.3	867520	869391	+	1872	3446	2915	1811
gsiB	NC_000913.3	869411	870949	+	1539	2555	2161	921
gsiC	NC_000913.3	870967	871887	+	921	1757	1220	241
gsiD	NC_000913.3	871890	872801	+	912	1491	1014	256
pdeI	NC_000913.3	872979	875327	+	2349	1504	887	152
dgcI	NC_000913.3	875335	876663	+	1329	1683	988	84
rimO	NC_000913.3	876710	878035	-	1326	2273	1360	168
bssR	NC_000913.3	878248	878631	+	384	44122	50254	1379
yliI	NC_000913.3	878742	879857	+	1116	2020	1449	369
gstB	NC_000913.3	879854	880480	-	627	1907	1481	292
dacC	NC_000913.3	880727	881929	+	1203	3959	4797	692
deoR	NC_000913.3	881976	882734	-	759	1066	675	268
ybjG	NC_000913.3	882792	883388	-	597	879	584	120
mdfA	NC_000913.3	883673	884905	+	1233	3482	2918	343
ybjH	NC_000913.3	884946	885230	-	285	474	323	70
ybjI	NC_000913.3	885316	886131	-	816	1966	1384	106
ybjJ	NC_000913.3	886131	887339	-	1209	2393	1746	86
rcdA	NC_000913.3	887423	887959	+	537	1095	723	31
rybB	NC_000913.3	887979	888057	-	79	242	159	9
ybjL	NC_000913.3	888134	889819	-	1686	2223	1734	1240
ybjM	NC_000913.3	890089	890466	+	378	398	258	907
grxA	NC_000913.3	890496	890753	-	258	206	192	1157
ybjC	NC_000913.3	890913	891200	+	288	363	196	48
nfsA	NC_000913.3	891184	891906	+	723	1037	682	209
rimK	NC_000913.3	891967	892869	+	903	1634	1100	208
ybjN	NC_000913.3	892957	893433	+	477	886	743	188
potF	NC_000913.3	893784	894896	+	1113	2754	5562	536
potG	NC_000913.3	894991	896124	+	1134	1759	1890	252
potH	NC_000913.3	896134	897087	+	954	1356	995	122
potI	NC_000913.3	897084	897929	+	846	1349	1012	156
ybjO	NC_000913.3	897989	898477	+	489	722	453	69
rlmC	NC_000913.3	898518	899645	+	1128	1604	1003	477
artJ	NC_000913.3	899844	900575	-	732	963	858	3725
artM	NC_000913.3	900866	901534	-	669	1297	1140	1821
artQ	NC_000913.3	901534	902250	-	717	1705	1568	2021
artI	NC_000913.3	902257	902988	-	732	2819	3145	2616
artP	NC_000913.3	903006	903734	-	729	1970	2088	2000
ybjP	NC_000913.3	903952	904467	-	516	2063	1539	329
ybjQ	NC_000913.3	904593	904916	+	324	892	960	312
amiD	NC_000913.3	904913	905743	+	831	2074	1880	716
ybjS	NC_000913.3	905740	906753	-	1014	1878	1311	835
