Geneid	Chr	Start	End	Strand	Length
fes	NC_000913.3	612737	613939	+	1203
ybdZ	NC_000913.3	613942	614160	+	219
entF	NC_000913.3	614157	618038	+	3882
fepE	NC_000913.3	618254	619387	+	1134
fepC	NC_000913.3	619384	620199	-	816
fepG	NC_000913.3	620196	621188	-	993
fepD	NC_000913.3	621185	622189	-	1005
entS	NC_000913.3	622300	623550	+	1251
fepB	NC_000913.3	623554	624510	-	957
entC	NC_000913.3	624885	626060	+	1176
entE	NC_000913.3	626070	627680	+	1611
entB	NC_000913.3	627694	628551	+	858
entA	NC_000913.3	628551	629297	+	747
entH	NC_000913.3	629300	629713	+	414
cstA	NC_000913.3	629894	631999	+	2106
ybdD	NC_000913.3	632182	632379	+	198
hcxA	NC_000913.3	632389	633477	-	1089
ybdL	NC_000913.3	633586	634746	+	1161
ybdM	NC_000913.3	634747	635376	-	630
ybdN	NC_000913.3	635349	636569	-	1221
ybdO	NC_000913.3	636716	637618	-	903
dsbG	NC_000913.3	637827	638573	-	747
ahpC	NC_000913.3	638945	639508	+	564
ahpF	NC_000913.3	639753	641318	+	1566
uspG	NC_000913.3	641439	641867	-	429
ybdR	NC_000913.3	642088	643326	+	1239
yldA	NC_000913.3	643330	643419	-	90
rnk	NC_000913.3	643557	643967	-	411
rna	NC_000913.3	644197	645003	-	807
citT	NC_000913.3	645117	646580	-	1464
citG	NC_000913.3	646631	647509	-	879
citX	NC_000913.3	647484	648035	-	552
citF	NC_000913.3	648039	649571	-	1533
citE	NC_000913.3	649582	650490	-	909
citD	NC_000913.3	650487	650783	-	297
citC	NC_000913.3	650798	651856	-	1059
dpiB	NC_000913.3	652235	653893	+	1659
dpiA	NC_000913.3	653862	654542	+	681
dcuC	NC_000913.3	654583	655968	-	1386
pagP	NC_000913.3	656557	657117	+	561
cspE	NC_000913.3	657292	657501	+	210
crcB	NC_000913.3	657555	657938	-	384
ybeM	NC_000913.3	658031	658818	+	788
tatE	NC_000913.3	658947	659150	+	204
lipA	NC_000913.3	659251	660216	-	966
ybeF	NC_000913.3	660425	661378	-	954
lipB	NC_000913.3	661637	662278	-	642
ybeD	NC_000913.3	662379	662642	-	264
dacA	NC_000913.3	662752	663963	-	1212
rlpA	NC_000913.3	664102	665190	-	1089
mrdB	NC_000913.3	665201	666313	-	1113
mrdA	NC_000913.3	666316	668217	-	1902
rlmH	NC_000913.3	668248	668715	-	468
rsfS	NC_000913.3	668719	669036	-	318
cobC	NC_000913.3	669296	669907	-	612
nadD	NC_000913.3	669931	670572	-	642
holA	NC_000913.3	670574	671605	-	1032
lptE	NC_000913.3	671605	672186	-	582
leuS	NC_000913.3	672201	674783	-	2583
ybeL	NC_000913.3	675018	675500	+	483
ybeQ	NC_000913.3	675570	676547	-	978
ybeR	NC_000913.3	676711	677418	+	708
djlB	NC_000913.3	677415	678842	+	1428
ybeT	NC_000913.3	678852	679406	-	555
ybeU	NC_000913.3	679508	680215	+	708
djlC	NC_000913.3	680212	681663	+	1452
hscC	NC_000913.3	681723	683393	-	1671
rihA	NC_000913.3	683477	684412	-	936
gltL	NC_000913.3	684530	685255	-	726
gltK	NC_000913.3	685255	685929	-	675
gltJ	NC_000913.3	685929	686669	-	741
sroC	NC_000913.3	686681	686843	-	163
gltI	NC_000913.3	686839	687747	-	909
insH3	NC_000913.3	687997	688977	-	981
lnt	NC_000913.3	689343	690881	-	1539
ybeX	NC_000913.3	690906	691784	-	879
ybeY	NC_000913.3	691874	692341	-	468
ybeZ	NC_000913.3	692338	693378	-	1041
miaB	NC_000913.3	693531	694955	-	1425
ubiF	NC_000913.3	695101	696276	+	1176
glnX	NC_000913.3	696430	696504	-	75
glnV	NC_000913.3	696542	696616	-	75
metU	NC_000913.3	696664	696740	-	77
glnW	NC_000913.3	696756	696830	-	75
glnU	NC_000913.3	696865	696939	-	75
leuW	NC_000913.3	696963	697047	-	85
metT	NC_000913.3	697057	697133	-	77
asnB	NC_000913.3	697513	699177	-	1665
umpH	NC_000913.3	699574	700326	-	753
nagC	NC_000913.3	700374	701594	-	1221
nagA	NC_000913.3	701603	702751	-	1149
nagB	NC_000913.3	702811	703611	-	801
nagE	NC_000913.3	703944	705890	+	1947
glnS	NC_000913.3	706093	707757	+	1665
chiZ	NC_000913.3	708236	708333	+	98
chiP	NC_000913.3	708334	709740	+	1407
chiQ	NC_000913.3	709790	710116	+	327
fur	NC_000913.3	710200	710646	-	447
uof	NC_000913.3	710639	710725	-	87
fldA	NC_000913.3	710935	711465	-	531
ybfE	NC_000913.3	711605	711898	-	294
ybfF	NC_000913.3	712038	712802	-	765
seqA	NC_000913.3	712987	713532	+	546
pgm	NC_000913.3	713558	715198	+	1641
ybfP	NC_000913.3	715412	715906	+	495
ybfG	NC_000913.3	715947	716597	-	651
ybfI	NC_000913.3	716721	716870	-	150
potE	NC_000913.3	716946	718265	-	1320
speF	NC_000913.3	718262	720460	-	2199
speFL	NC_000913.3	720718	720822	-	105
kdpE	NC_000913.3	721056	721733	-	678
kdpD	NC_000913.3	721730	724414	-	2685
kdpC	NC_000913.3	724407	724979	-	573
kdpB	NC_000913.3	724988	727036	-	2049
kdpA	NC_000913.3	727059	728732	-	1674
kdpF	NC_000913.3	728732	728821	-	90
ybfA	NC_000913.3	729134	729340	+	207
rhsC	NC_000913.3	729583	733776	+	4194
ybfB	NC_000913.3	733776	734102	+	327
ybfO	NC_000913.3	734220	735653	+	1434
ybfC	NC_000913.3	735650	736219	+	570
ybfQ	NC_000913.3	736445	736699	+	255
ybfL	NC_000913.3	736900	737961	+	1062
ybfD	NC_000913.3	738092	738853	+	762
ybgA	NC_000913.3	739001	739510	+	510
phr	NC_000913.3	739507	740925	+	1419
dtpD	NC_000913.3	741075	742556	-	1482
ybgI	NC_000913.3	742827	743570	+	744
pxpB	NC_000913.3	743593	744249	+	657
pxpC	NC_000913.3	744243	745175	+	933
pxpA	NC_000913.3	745165	745899	+	735
nei	NC_000913.3	745935	746726	+	792
abrB	NC_000913.3	746723	747769	-	1047
ybgO	NC_000913.3	747921	748982	-	1062
ybgP	NC_000913.3	748979	749707	-	729
ybgQ	NC_000913.3	749722	752169	-	2448
ybgD	NC_000913.3	752229	752795	-	567
gltA	NC_000913.3	753185	754468	-	1284
ybgV	NC_000913.3	754658	754690	-	33
ybgU	NC_000913.3	754674	754781	-	108
sdhC	NC_000913.3	755177	755566	+	390
sdhD	NC_000913.3	755560	755907	+	348
sdhA	NC_000913.3	755907	757673	+	1767
sdhB	NC_000913.3	757689	758405	+	717
sucA	NC_000913.3	758706	761507	+	2802
sucB	NC_000913.3	761522	762739	+	1218
sucC	NC_000913.3	763014	764180	+	1167
sucD	NC_000913.3	764180	765049	+	870
sdhX	NC_000913.3	765050	765150	+	101
mngR	NC_000913.3	765153	765875	-	723
mngA	NC_000913.3	765984	767960	+	1977
mngB	NC_000913.3	767978	770611	+	2634
cydA	NC_000913.3	771458	773026	+	1569
cydB	NC_000913.3	773042	774181	+	1140
cydX	NC_000913.3	774196	774309	+	114
ybgE	NC_000913.3	774309	774602	+	294
ybgC	NC_000913.3	774752	775156	+	405
tolQ	NC_000913.3	775153	775845	+	693
tolR	NC_000913.3	775849	776277	+	429
tolA	NC_000913.3	776342	777607	+	1266
tolB	NC_000913.3	777740	779032	+	1293
pal	NC_000913.3	779067	779588	+	522
cpoB	NC_000913.3	779598	780389	+	792
lysT	NC_000913.3	780554	780629	+	76
valT	NC_000913.3	780765	780840	+	76
lysW	NC_000913.3	780843	780918	+	76
valZ	NC_000913.3	781068	781143	+	76
lysY	NC_000913.3	781147	781222	+	76
lysZ	NC_000913.3	781369	781444	+	76
lysQ	NC_000913.3	781577	781652	+	76
nadA	NC_000913.3	782085	783128	+	1044
pnuC	NC_000913.3	783166	783885	+	720
zitB	NC_000913.3	783882	784823	-	942
ybgS	NC_000913.3	784937	785317	-	381
aroG	NC_000913.3	785633	786685	+	1053
gpmA	NC_000913.3	786843	787595	-	753
galM	NC_000913.3	787797	788837	-	1041
galK	NC_000913.3	788831	789979	-	1149
galT	NC_000913.3	789983	791029	-	1047
galE	NC_000913.3	791039	792055	-	1017
modF	NC_000913.3	792316	793788	-	1473
modE	NC_000913.3	793856	794644	-	789
acrZ	NC_000913.3	794773	794922	+	150
modA	NC_000913.3	795089	795862	+	774
modB	NC_000913.3	795862	796551	+	690
modC	NC_000913.3	796554	797612	+	1059
ybhA	NC_000913.3	797613	798431	-	819
pgl	NC_000913.3	798586	799581	+	996
ybhD	NC_000913.3	799622	800575	-	954
ybhH	NC_000913.3	800759	801811	+	1053
ybhI	NC_000913.3	801887	803320	+	1434
ybhJ	NC_000913.3	803503	805764	+	2262
ybhC	NC_000913.3	805998	807281	-	1284
ybhB	NC_000913.3	807433	807909	-	477
bioA	NC_000913.3	807968	809257	-	1290
bioB	NC_000913.3	809344	810384	+	1041
bioF	NC_000913.3	810381	811535	+	1155
bioC	NC_000913.3	811522	812277	+	756
bioD	NC_000913.3	812270	812947	+	678
uvrB	NC_000913.3	813526	815547	+	2022
ybhK	NC_000913.3	815739	816647	-	909
moaA	NC_000913.3	817044	818033	+	990
moaB	NC_000913.3	818055	818567	+	513
moaC	NC_000913.3	818570	819055	+	486
moaD	NC_000913.3	819048	819293	+	246
moaE	NC_000913.3	819295	819747	+	453
ybhL	NC_000913.3	819884	820588	+	705
ybhM	NC_000913.3	820793	821506	+	714
ybhN	NC_000913.3	821542	822498	-	957
clsB	NC_000913.3	822498	823739	-	1242
ybhP	NC_000913.3	823736	824497	-	762
ybhQ	NC_000913.3	824630	825040	+	411
ybhR	NC_000913.3	825002	826108	-	1107
ybhS	NC_000913.3	826119	827252	-	1134
ybhF	NC_000913.3	827245	828981	-	1737
ybhG	NC_000913.3	828974	829972	-	999
cecR	NC_000913.3	829972	830643	-	672
rhlE	NC_000913.3	830872	832236	+	1365
ybiA	NC_000913.3	832468	832950	-	483
dinG	NC_000913.3	833070	835220	+	2151
ybiB	NC_000913.3	835248	836210	+	963
hcxB	NC_000913.3	836351	837436	+	1086
zbiJ	NC_000913.3	837435	837531	-	97
ybiE	NC_000913.3	837503	837562	+	60
ybiJ	NC_000913.3	837665	837925	-	261
ybiI	NC_000913.3	838190	838456	-	267
ybiX	NC_000913.3	838530	839207	-	678
fiu	NC_000913.3	839249	841531	-	2283
mcbA	NC_000913.3	841796	842056	-	261
rlmF	NC_000913.3	842332	843258	+	927
ybiO	NC_000913.3	843255	845480	-	2226
glnQ	NC_000913.3	845741	846463	-	723
glnP	NC_000913.3	846460	847119	-	660
glnH	NC_000913.3	847258	848004	-	747
dps	NC_000913.3	848408	848911	-	504
rhtA	NC_000913.3	849210	850097	-	888
yliM	NC_000913.3	850332	850397	+	66
ompX	NC_000913.3	850450	850965	+	516
opgE	NC_000913.3	851014	852597	-	1584
rybA	NC_000913.3	852725	853064	-	340
mntS	NC_000913.3	852869	852997	-	129
mntR	NC_000913.3	853183	853650	+	468
ybiR	NC_000913.3	853647	854765	+	1119
ldtB	NC_000913.3	854824	855744	-	921
ybiT	NC_000913.3	855963	857555	+	1593
ybiU	NC_000913.3	857796	859061	-	1266
ybiV	NC_000913.3	859213	860028	-	816
ybiW	NC_000913.3	860174	862606	-	2433
ybiY	NC_000913.3	862612	863511	-	900
fsaA	NC_000913.3	863642	864304	+	663
moeB	NC_000913.3	864380	865129	-	750
moeA	NC_000913.3	865129	866364	-	1236
iaaA	NC_000913.3	866568	867533	+	966
gsiA	NC_000913.3	867520	869391	+	1872
gsiB	NC_000913.3	869411	870949	+	1539
gsiC	NC_000913.3	870967	871887	+	921
gsiD	NC_000913.3	871890	872801	+	912
pdeI	NC_000913.3	872979	875327	+	2349
dgcI	NC_000913.3	875335	876663	+	1329
rimO	NC_000913.3	876710	878035	-	1326
bssR	NC_000913.3	878248	878631	+	384
yliI	NC_000913.3	878742	879857	+	1116
gstB	NC_000913.3	879854	880480	-	627
dacC	NC_000913.3	880727	881929	+	1203
deoR	NC_000913.3	881976	882734	-	759
ybjG	NC_000913.3	882792	883388	-	597
mdfA	NC_000913.3	883673	884905	+	1233
ybjH	NC_000913.3	884946	885230	-	285
ybjI	NC_000913.3	885316	886131	-	816
ybjJ	NC_000913.3	886131	887339	-	1209
rcdA	NC_000913.3	887423	887959	+	537
rybB	NC_000913.3	887979	888057	-	79
ybjL	NC_000913.3	888134	889819	-	1686
ybjM	NC_000913.3	890089	890466	+	378
grxA	NC_000913.3	890496	890753	-	258
ybjC	NC_000913.3	890913	891200	+	288
nfsA	NC_000913.3	891184	891906	+	723
rimK	NC_000913.3	891967	892869	+	903
ybjN	NC_000913.3	892957	893433	+	477
potF	NC_000913.3	893784	894896	+	1113
potG	NC_000913.3	894991	896124	+	1134
potH	NC_000913.3	896134	897087	+	954
potI	NC_000913.3	897084	897929	+	846
ybjO	NC_000913.3	897989	898477	+	489
rlmC	NC_000913.3	898518	899645	+	1128
artJ	NC_000913.3	899844	900575	-	732
artM	NC_000913.3	900866	901534	-	669
artQ	NC_000913.3	901534	902250	-	717
artI	NC_000913.3	902257	902988	-	732
artP	NC_000913.3	903006	903734	-	729
ybjP	NC_000913.3	903952	904467	-	516
ybjQ	NC_000913.3	904593	904916	+	324
amiD	NC_000913.3	904913	905743	+	831
ybjS	NC_000913.3	905740	906753	-	1014
ybjT	NC_000913.3	906852	908282	-	1431
ltaE	NC_000913.3	908293	909294	-	1002
poxB	NC_000913.3	909331	911049	-	1719
hcr	NC_000913.3	911182	912150	-	969
hcp	NC_000913.3	912162	913814	-	1653
lysO	NC_000913.3	913958	914857	-	900
aqpZ	NC_000913.3	915352	916047	-	696
ybjD	NC_000913.3	916473	918131	+	1659
ybjX	NC_000913.3	918128	919120	-	993
macA	NC_000913.3	919235	920350	+	1116
macB	NC_000913.3	920347	922293	+	1947
cspD	NC_000913.3	922366	922590	-	225
yljB	NC_000913.3	922740	922814	+	75
clpS	NC_000913.3	922913	923233	+	321
clpA	NC_000913.3	923264	925540	+	2277
serW	NC_000913.3	925884	925971	-	88
infA	NC_000913.3	926225	926443	-	219
aat	NC_000913.3	926728	927432	-	705
cydC	NC_000913.3	927474	929195	-	1722
cydD	NC_000913.3	929196	930962	-	1767
trxB	NC_000913.3	931085	932050	-	966
lrp	NC_000913.3	932595	933089	+	495
ftsK	NC_000913.3	933224	937213	+	3990
lolA	NC_000913.3	937372	937983	+	612
rarA	NC_000913.3	937994	939337	+	1344
serS	NC_000913.3	939428	940720	+	1293
dmsA	NC_000913.3	940959	943403	+	2445
dmsB	NC_000913.3	943414	944031	+	618
dmsC	NC_000913.3	944033	944896	+	864
ycaC	NC_000913.3	944931	945557	-	627
ycaD	NC_000913.3	945871	947019	+	1149
ycaM	NC_000913.3	947229	948659	+	1431
ycaN	NC_000913.3	948660	949568	-	909
ycaK	NC_000913.3	949668	950258	+	591
pflA	NC_000913.3	950340	951080	-	741
pflB	NC_000913.3	951272	953554	-	2283
focA	NC_000913.3	953609	954466	-	858
ycaO	NC_000913.3	954872	956632	-	1761
ycaP	NC_000913.3	956762	957454	+	693
serC	NC_000913.3	957653	958741	+	1089
aroA	NC_000913.3	958812	960095	+	1284
ycaL	NC_000913.3	960264	961028	+	765
cmk	NC_000913.3	961201	961884	+	684
rpsA	NC_000913.3	961995	963668	+	1674
ihfB	NC_000913.3	963828	964112	+	285
ycaI	NC_000913.3	964320	966584	+	2265
msbA	NC_000913.3	966621	968369	+	1749
lpxK	NC_000913.3	968366	969352	+	987
ycaQ	NC_000913.3	969389	970621	+	1233
ycaR	NC_000913.3	970673	970855	+	183
kdsB	NC_000913.3	970852	971598	+	747
ycbJ	NC_000913.3	971752	972645	+	894
elyC	NC_000913.3	972622	973401	-	780
cmoM	NC_000913.3	973537	974322	+	786
mukF	NC_000913.3	974319	975641	+	1323
mukE	NC_000913.3	975622	976326	+	705
mukB	NC_000913.3	976326	980786	+	4461
ldtD	NC_000913.3	981047	982894	+	1848
mepK	NC_000913.3	983075	983623	+	549
gloC	NC_000913.3	983650	984297	+	648
aspC	NC_000913.3	984519	985709	-	1191
ompF	NC_000913.3	985894	986982	-	1089
asnS	NC_000913.3	987585	988985	-	1401
pncB	NC_000913.3	989154	990356	-	1203
pepN	NC_000913.3	990622	993234	+	2613
ssuB	NC_000913.3	993277	994044	-	768
ssuC	NC_000913.3	994041	994832	-	792
ssuD	NC_000913.3	994843	995988	-	1146
ssuA	NC_000913.3	995985	996944	-	960
ssuE	NC_000913.3	996937	997512	-	576
elfA	NC_000913.3	997868	998407	+	540
elfD	NC_000913.3	998490	999191	+	702
elfC	NC_000913.3	999216	1001816	+	2601
elfG	NC_000913.3	1001807	1002877	+	1071
ycbU	NC_000913.3	1002889	1003431	+	543
ycbV	NC_000913.3	1003439	1003954	+	516
ycbF	NC_000913.3	1003947	1004657	+	711
pyrD	NC_000913.3	1004768	1005778	+	1011
zapC	NC_000913.3	1005952	1006494	+	543
ycbX	NC_000913.3	1006491	1007600	-	1110
rlmL	NC_000913.3	1007844	1009952	+	2109
uup	NC_000913.3	1009964	1011871	+	1908
pqiA	NC_000913.3	1012001	1013254	+	1254
pqiB	NC_000913.3	1013259	1014899	+	1641
pqiC	NC_000913.3	1014896	1015459	+	564
rmf	NC_000913.3	1015715	1015882	+	168
fabA	NC_000913.3	1015952	1016470	-	519
ycbZ	NC_000913.3	1016539	1018299	-	1761
matP	NC_000913.3	1018485	1018937	+	453
ompA	NC_000913.3	1019013	1020053	-	1041
sulA	NC_000913.3	1020410	1020919	-	510
sxy	NC_000913.3	1021138	1021767	+	630
yccS	NC_000913.3	1021730	1023883	-	2154
yccF	NC_000913.3	1023902	1024348	-	447
helD	NC_000913.3	1024471	1026525	+	2055
mgsA	NC_000913.3	1026557	1027015	-	459
yccT	NC_000913.3	1027111	1027773	-	663
yccU	NC_000913.3	1027946	1028359	+	414
hspQ	NC_000913.3	1028404	1028721	-	318
rlmI	NC_000913.3	1028779	1029969	-	1191
yccX	NC_000913.3	1030064	1030342	+	279
tusE	NC_000913.3	1030339	1030668	-	330
yccA	NC_000913.3	1030759	1031418	-	660
serT	NC_000913.3	1031625	1031712	-	88
hyaA	NC_000913.3	1032139	1033257	+	1119
hyaB	NC_000913.3	1033254	1035047	+	1794
hyaC	NC_000913.3	1035066	1035773	+	708
hyaD	NC_000913.3	1035770	1036357	+	588
hyaE	NC_000913.3	1036354	1036752	+	399
hyaF	NC_000913.3	1036749	1037606	+	858
appC	NC_000913.3	1037740	1039284	+	1545
appB	NC_000913.3	1039296	1040432	+	1137
appX	NC_000913.3	1040445	1040537	+	93
appA	NC_000913.3	1040617	1041915	+	1299
etk	NC_000913.3	1042030	1044210	-	2181
etp	NC_000913.3	1044230	1044676	-	447
gfcE	NC_000913.3	1044664	1045803	-	1140
gfcD	NC_000913.3	1045849	1047945	-	2097
gfcC	NC_000913.3	1047945	1048691	-	747
gfcB	NC_000913.3	1048688	1049332	-	645
gfcA	NC_000913.3	1049439	1049744	-	306
insA4	NC_000913.3	1049833	1050108	+	276
insB4	NC_000913.3	1050027	1050530	+	504
cspH	NC_000913.3	1050963	1051175	-	213
cspG	NC_000913.3	1051461	1051673	+	213
ymcF	NC_000913.3	1051684	1051872	+	189
ymcE	NC_000913.3	1051847	1052077	+	231
gnsA	NC_000913.3	1052067	1052240	+	174
yccM	NC_000913.3	1052289	1053362	-	1074
torS	NC_000913.3	1053434	1056178	-	2745
torT	NC_000913.3	1056261	1057289	+	1029
torR	NC_000913.3	1057262	1057954	-	693
torC	NC_000913.3	1058084	1059256	+	1173
torA	NC_000913.3	1059256	1061802	+	2547
torD	NC_000913.3	1061799	1062398	+	600
cbpM	NC_000913.3	1062550	1062855	-	306
cbpA	NC_000913.3	1062855	1063775	-	921
yccE	NC_000913.3	1064036	1065292	+	1257
agp	NC_000913.3	1065585	1066826	+	1242
yccJ	NC_000913.3	1066864	1067091	-	228
wrbA	NC_000913.3	1067112	1067708	-	597
ymdF	NC_000913.3	1068081	1068254	+	174
rutG	NC_000913.3	1068511	1069839	-	1329
rutF	NC_000913.3	1069860	1070354	-	495
rutE	NC_000913.3	1070365	1070955	-	591
rutD	NC_000913.3	1070965	1071765	-	801
rutC	NC_000913.3	1071773	1072159	-	387
rutB	NC_000913.3	1072171	1072863	-	693
rutA	NC_000913.3	1072863	1074011	-	1149
rutR	NC_000913.3	1074242	1074880	+	639
putA	NC_000913.3	1074920	1078882	-	3963
ymdG	NC_000913.3	1079120	1079146	+	27
putP	NC_000913.3	1079305	1080813	+	1509
efeU	NC_000913.3	1081356	1082185	+	830
efeO	NC_000913.3	1082243	1083370	+	1128
efeB	NC_000913.3	1083376	1084647	+	1272
phoH	NC_000913.3	1084992	1086056	+	1065
pgaD	NC_000913.3	1086106	1086519	-	414
pgaC	NC_000913.3	1086521	1087846	-	1326
pgaB	NC_000913.3	1087839	1089857	-	2019
pgaA	NC_000913.3	1089866	1092289	-	2424
dgcT	NC_000913.3	1092876	1094234	+	1359
insF4	NC_000913.3	1094275	1095141	-	867
insE4	NC_000913.3	1095138	1095437	-	300
ymdE	NC_000913.3	1095544	1095846	+	303
ycdU	NC_000913.3	1095843	1096829	+	987
serX	NC_000913.3	1097565	1097652	-	88
ghrA	NC_000913.3	1097886	1098824	+	939
ycdX	NC_000913.3	1098879	1099616	+	738
ycdY	NC_000913.3	1099640	1100194	+	555
ycdZ	NC_000913.3	1100296	1100787	+	492
csgG	NC_000913.3	1100851	1101684	-	834
csgF	NC_000913.3	1101711	1102127	-	417
csgE	NC_000913.3	1102152	1102541	-	390
csgD	NC_000913.3	1102546	1103196	-	651
csgB	NC_000913.3	1103951	1104406	+	456
csgA	NC_000913.3	1104447	1104902	+	456
csgC	NC_000913.3	1104961	1105293	+	333
ymdA	NC_000913.3	1105414	1105725	+	312
ymdB	NC_000913.3	1105820	1106353	+	534
clsC	NC_000913.3	1106355	1107776	+	1422
opgC	NC_000913.3	1107784	1108941	-	1158
opgG	NC_000913.3	1109335	1110870	+	1536
opgH	NC_000913.3	1110863	1113406	+	2544
yceK	NC_000913.3	1113579	1113806	+	228
msyB	NC_000913.3	1113807	1114181	-	375
mdtG	NC_000913.3	1114264	1115490	-	1227
lpxL	NC_000913.3	1115662	1116582	-	921
trhO	NC_000913.3	1116807	1117859	+	1053
yceI	NC_000913.3	1117901	1118476	-	576
yceJ	NC_000913.3	1118480	1119046	-	567
yceO	NC_000913.3	1119307	1119447	-	141
solA	NC_000913.3	1119468	1120586	-	1119
bssS	NC_000913.3	1120701	1120955	-	255
dinI	NC_000913.3	1121242	1121487	-	246
pyrC	NC_000913.3	1121561	1122607	-	1047
yceB	NC_000913.3	1122713	1123273	-	561
grxB	NC_000913.3	1123407	1124054	-	648
mdtH	NC_000913.3	1124118	1125326	-	1209
rimJ	NC_000913.3	1125562	1126146	+	585
yceH	NC_000913.3	1126157	1126804	+	648
yceM	NC_000913.3	1126806	1127729	+	924
murJ	NC_000913.3	1127839	1129374	+	1536
flgN	NC_000913.3	1129414	1129830	-	417
flgM	NC_000913.3	1129835	1130128	-	294
flgA	NC_000913.3	1130204	1130863	-	660
flgB	NC_000913.3	1131018	1131434	+	417
flgC	NC_000913.3	1131438	1131842	+	405
flgD	NC_000913.3	1131854	1132549	+	696
flgE	NC_000913.3	1132574	1133782	+	1209
flgF	NC_000913.3	1133802	1134557	+	756
flgG	NC_000913.3	1134729	1135511	+	783
flgH	NC_000913.3	1135564	1136262	+	699
flgI	NC_000913.3	1136274	1137371	+	1098
flgJ	NC_000913.3	1137371	1138312	+	942
flgK	NC_000913.3	1138378	1140021	+	1644
flgL	NC_000913.3	1140033	1140986	+	954
flgO	NC_000913.3	1140986	1141063	+	78
rne	NC_000913.3	1141182	1144367	-	3186
yceQ	NC_000913.3	1144502	1144822	+	321
rluC	NC_000913.3	1144940	1145899	+	960
yceF	NC_000913.3	1146011	1146595	-	585
sraB	NC_000913.3	1146589	1146757	+	169
yceD	NC_000913.3	1146794	1147315	+	522
rpmF	NC_000913.3	1147367	1147540	+	174
plsX	NC_000913.3	1147621	1148691	+	1071
fabH	NC_000913.3	1148759	1149712	+	954
fabD	NC_000913.3	1149728	1150657	+	930
fabG	NC_000913.3	1150670	1151404	+	735
acpP	NC_000913.3	1151615	1151851	+	237
fabF	NC_000913.3	1151939	1153180	+	1242
pabC	NC_000913.3	1153300	1154109	+	810
mltG	NC_000913.3	1154112	1155134	+	1023
tmk	NC_000913.3	1155124	1155765	+	642
holB	NC_000913.3	1155762	1156766	+	1005
ycfH	NC_000913.3	1156777	1157574	+	798
ptsG	NC_000913.3	1157869	1159302	+	1434
fhuE	NC_000913.3	1159362	1161551	-	2190
hinT	NC_000913.3	1161885	1162244	+	360
ycfL	NC_000913.3	1162247	1162624	+	378
lpoB	NC_000913.3	1162638	1163279	+	642
thiK	NC_000913.3	1163260	1164084	+	825
nagZ	NC_000913.3	1164095	1165120	+	1026
ycfP	NC_000913.3	1165143	1165685	+	543
ndh	NC_000913.3	1166085	1167389	+	1305
ycfJ	NC_000913.3	1167599	1168138	+	540
comR	NC_000913.3	1168200	1168832	-	633
bhsA	NC_000913.3	1169073	1169330	+	258
bhsB	NC_000913.3	1169303	1169402	+	100
ldtC	NC_000913.3	1169412	1170374	-	963
mfd	NC_000913.3	1170518	1173964	-	3447
ycfT	NC_000913.3	1174092	1175165	-	1074
lolC	NC_000913.3	1175427	1176626	+	1200
lolD	NC_000913.3	1176619	1177320	+	702
lolE	NC_000913.3	1177320	1178564	+	1245
nagK	NC_000913.3	1178593	1179504	+	912
cobB	NC_000913.3	1179520	1180359	+	840
ycfZ	NC_000913.3	1180479	1181267	-	789
ymfA	NC_000913.3	1181264	1181725	-	462
